posX,posY,posZ,Type
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,0,12,0
0,0,13,0
0,0,14,0
0,0,15,0
0,0,16,0
0,0,17,0
0,0,18,0
0,0,19,0
0,0,20,0
0,0,21,0
0,0,22,0
0,0,23,0
0,0,24,0
0,0,25,0
0,0,26,0
0,0,27,0
0,0,28,0
0,0,29,0
0,0,30,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,0,12,0
1,0,13,0
1,0,14,0
1,0,15,0
1,0,16,0
1,0,17,0
1,0,18,0
1,0,19,0
1,0,20,0
1,0,21,0
1,0,22,0
1,0,23,0
1,0,24,0
1,0,25,0
1,0,26,0
1,0,27,0
1,0,28,0
1,0,29,0
1,0,30,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,0,11,0
2,0,12,0
2,0,13,0
2,0,14,0
2,0,15,0
2,0,16,0
2,0,17,0
2,0,18,0
2,0,19,0
2,0,20,0
2,0,21,0
2,0,22,0
2,0,23,0
2,0,24,0
2,0,25,0
2,0,26,0
2,0,27,0
2,0,28,0
2,0,29,0
2,0,30,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,0
3,0,7,0
3,0,8,0
3,0,9,0
3,0,10,0
3,0,11,0
3,0,12,0
3,0,13,0
3,0,14,0
3,0,15,0
3,0,16,0
3,0,17,0
3,0,18,0
3,0,19,0
3,0,20,0
3,0,21,0
3,0,22,0
3,0,23,0
3,0,24,0
3,0,25,0
3,0,26,0
3,0,27,0
3,0,28,0
3,0,29,0
3,0,30,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,0
4,0,7,0
4,0,8,0
4,0,9,0
4,0,10,0
4,0,11,0
4,0,12,0
4,0,13,0
4,0,14,0
4,0,15,0
4,0,16,0
4,0,17,0
4,0,18,0
4,0,19,0
4,0,20,0
4,0,21,0
4,0,22,0
4,0,23,0
4,0,24,0
4,0,25,0
4,0,26,0
4,0,27,0
4,0,28,0
4,0,29,0
4,0,30,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,5,0
5,0,6,0
5,0,7,0
5,0,8,0
5,0,9,0
5,0,10,0
5,0,11,0
5,0,12,0
5,0,13,0
5,0,14,0
5,0,15,0
5,0,16,0
5,0,17,0
5,0,18,0
5,0,19,0
5,0,20,0
5,0,21,0
5,0,22,0
5,0,23,0
5,0,24,0
5,0,25,0
5,0,26,0
5,0,27,0
5,0,28,0
5,0,29,0
5,0,30,0
-1,0,0,0
-1,0,1,0
-1,0,2,0
-1,0,3,0
-1,0,4,0
-1,0,5,0
-1,0,6,0
-1,0,7,0
-1,0,8,0
-1,0,9,0
-1,0,10,0
-1,0,11,0
-1,0,12,0
-1,0,13,0
-1,0,14,0
-1,0,15,0
-1,0,16,0
-1,0,17,0
-1,0,18,0
-1,0,19,0
-1,0,20,0
-1,0,21,0
-1,0,22,0
-1,0,23,0
-1,0,24,0
-1,0,25,0
-1,0,26,0
-1,0,27,0
-1,0,28,0
-1,0,29,0
-1,0,30,0
-2,0,0,0
-2,0,1,0
-2,0,2,0
-2,0,3,0
-2,0,4,0
-2,0,5,0
-2,0,6,0
-2,0,7,0
-2,0,8,0
-2,0,9,0
-2,0,10,0
-2,0,11,0
-2,0,12,0
-2,0,13,0
-2,0,14,0
-2,0,15,0
-2,0,16,0
-2,0,17,0
-2,0,18,0
-2,0,19,0
-2,0,20,0
-2,0,21,0
-2,0,22,0
-2,0,23,0
-2,0,24,0
-2,0,25,0
-2,0,26,0
-2,0,27,0
-2,0,28,0
-2,0,29,0
-2,0,30,0
-3,0,0,0
-3,0,1,0
-3,0,2,0
-3,0,3,0
-3,0,4,0
-3,0,5,0
-3,0,6,0
-3,0,7,0
-3,0,8,0
-3,0,9,0
-3,0,10,0
-3,0,11,0
-3,0,12,0
-3,0,13,0
-3,0,14,0
-3,0,15,0
-3,0,16,0
-3,0,17,0
-3,0,18,0
-3,0,19,0
-3,0,20,0
-3,0,21,0
-3,0,22,0
-3,0,23,0
-3,0,24,0
-3,0,25,0
-3,0,26,0
-3,0,27,0
-3,0,28,0
-3,0,29,0
-3,0,30,0
-3,0,0,0
-3,0,1,0
-3,0,2,0
-3,0,3,0
-3,0,4,0
-3,0,5,0
-3,0,6,0
-3,0,7,0
-3,0,8,0
-3,0,9,0
-3,0,10,0
-3,0,11,0
-3,0,12,0
-3,0,13,0
-3,0,14,0
-3,0,15,0
-3,0,16,0
-3,0,17,0
-3,0,18,0
-3,0,19,0
-3,0,20,0
-3,0,21,0
-3,0,22,0
-3,0,23,0
-3,0,24,0
-3,0,25,0
-3,0,26,0
-3,0,27,0
-3,0,28,0
-3,0,29,0
-3,0,30,0
-3,0,0,0
-3,0,1,0
-3,0,2,0
-3,0,3,0
-3,0,4,0
-3,0,5,0
-3,0,6,0
-3,0,7,0
-3,0,8,0
-3,0,9,0
-3,0,10,0
-3,0,11,0
-3,0,12,0
-3,0,13,0
-3,0,14,0
-3,0,15,0
-3,0,16,0
-3,0,17,0
-3,0,18,0
-3,0,19,0
-3,0,20,0
-3,0,21,0
-3,0,22,0
-3,0,23,0
-3,0,24,0
-3,0,25,0
-3,0,26,0
-3,0,27,0
-3,0,28,0
-3,0,29,0
-3,0,30,0
-4,0,0,0
-4,0,1,0
-4,0,2,0
-4,0,3,0
-4,0,4,0
-4,0,5,0
-4,0,6,0
-4,0,7,0
-4,0,8,0
-4,0,9,0
-4,0,10,0
-4,0,11,0
-4,0,12,0
-4,0,13,0
-4,0,14,0
-4,0,15,0
-4,0,16,0
-4,0,17,0
-4,0,18,0
-4,0,19,0
-4,0,20,0
-4,0,21,0
-4,0,22,0
-4,0,23,0
-4,0,24,0
-4,0,25,0
-4,0,26,0
-4,0,27,0
-4,0,28,0
-4,0,29,0
-4,0,30,0
-5,0,0,0
-5,0,1,0
-5,0,2,0
-5,0,3,0
-5,0,4,0
-5,0,5,0
-5,0,6,0
-5,0,7,0
-5,0,8,0
-5,0,9,0
-5,0,10,0
-5,0,11,0
-5,0,12,0
-5,0,13,0
-5,0,14,0
-5,0,15,0
-5,0,16,0
-5,0,17,0
-5,0,18,0
-5,0,19,0
-5,0,20,0
-5,0,21,0
-5,0,22,0
-5,0,23,0
-5,0,24,0
-5,0,25,0
-5,0,26,0
-5,0,27,0
-5,0,28,0
-5,0,29,0
-5,0,30,0
5,1,0,0
5,1,1,0
5,1,2,0
5,1,3,0
5,1,4,0
5,1,5,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,10,0
5,1,11,0
5,1,12,0
5,1,13,0
5,1,14,0
5,1,15,0
5,1,16,0
5,1,17,0
5,1,18,0
5,1,19,0
5,1,20,0
5,1,21,0
5,1,22,0
5,1,23,0
5,1,24,0
5,1,25,0
5,1,26,0
5,1,27,0
5,1,28,0
5,1,29,0
5,1,30,0
5,2,0,0
5,2,1,0
5,2,2,0
5,2,3,0
5,2,4,0
5,2,5,0
5,2,6,0
5,2,7,0
5,2,8,0
5,2,9,0
5,2,10,0
5,2,11,0
5,2,12,0
5,2,13,0
5,2,14,0
5,2,15,0
5,2,16,0
5,2,17,0
5,2,18,0
5,2,19,0
5,2,20,0
5,2,21,0
5,2,22,0
5,2,23,0
5,2,24,0
5,2,25,0
5,2,26,0
5,3,26,0
5,2,27,0
5,2,28,0
5,2,29,0
5,2,30,0
5,3,0,0
5,3,1,0
5,3,2,0
5,3,3,0
5,3,4,0
5,3,5,0
5,3,6,0
5,3,7,0
5,3,8,0
5,3,9,0
5,3,10,0
5,3,11,0
5,3,12,0
5,3,13,0
5,3,14,0
5,3,15,0
5,3,16,0
5,3,17,0
5,3,18,0
5,3,19,0
5,3,20,0
5,3,21,0
5,3,22,0
5,3,23,0
5,3,24,0
5,3,25,0
5,3,26,0
5,3,27,0
5,3,28,0
5,1,29,0
5,1,30,0
5,4,0,0
5,4,1,0
5,4,2,0
5,4,3,0
5,4,4,0
5,4,5,0
5,4,6,0
5,4,7,0
5,4,8,0
5,4,9,0
5,4,10,0
5,4,11,0
5,4,12,0
5,4,13,0
5,4,14,0
5,4,15,0
5,4,16,0
5,4,17,0
5,4,18,0
5,4,19,0
5,4,20,0
5,4,21,0
5,4,22,0
5,4,23,0
5,4,24,0
5,4,25,0
5,4,26,0
5,4,27,0
5,4,28,0
5,4,29,0
5,4,30,0
5,5,0,0
5,5,1,0
5,5,2,0
5,5,3,0
5,5,4,0
5,5,5,0
5,5,6,0
5,5,7,0
5,5,8,0
5,5,9,0
5,5,10,0
5,5,11,0
5,5,12,0
5,5,13,0
5,5,14,0
5,5,15,0
5,5,16,0
5,5,17,0
5,5,18,0
5,5,19,0
5,5,20,0
5,5,21,0
5,5,22,0
5,5,23,0
5,5,24,0
5,5,25,0
5,5,26,0
5,5,27,0
5,5,28,0
5,5,29,0
5,5,30,0
-5,1,0,0
-5,1,1,0
-5,1,2,0
-5,1,3,0
-5,1,4,0
-5,1,5,0
-5,1,6,0
-5,1,7,0
-5,1,8,0
-5,1,9,0
-5,1,10,0
-5,1,11,0
-5,1,12,0
-5,1,13,0
-5,1,14,0
-5,1,15,0
-5,1,16,0
-5,1,17,0
-5,1,18,0
-5,1,19,0
-5,1,20,0
-5,1,21,0
-5,1,22,0
-5,1,23,0
-5,1,24,0
-5,1,25,0
-5,1,26,0
-5,1,27,0
-5,1,28,0
-5,1,29,0
-5,1,30,0
-5,2,0,0
-5,2,1,0
-5,2,2,0
-5,2,3,0
-5,2,4,0
-5,2,5,0
-5,2,6,0
-5,2,7,0
-5,2,8,0
-5,2,9,0
-5,2,10,0
-5,2,11,0
-5,2,12,0
-5,2,13,0
-5,2,14,0
-5,2,15,0
-5,2,16,0
-5,2,17,0
-5,2,18,0
-5,2,19,0
-5,2,20,0
-5,2,21,0
-5,2,22,0
-5,2,23,0
-5,2,24,0
-5,2,25,0
-5,2,26,0
-5,2,27,0
-5,2,28,0
-5,2,29,0
-5,2,30,0
-5,3,0,0
-5,3,1,0
-5,3,2,0
-5,3,3,0
-5,3,4,0
-5,3,5,0
-5,3,6,0
-5,3,7,0
-5,3,8,0
-5,3,9,0
-5,3,10,0
-5,3,11,0
-5,3,12,0
-5,3,13,0
-5,3,14,0
-5,3,15,0
-5,3,16,0
-5,3,17,0
-5,3,18,0
-5,3,19,0
-5,3,20,0
-5,3,21,0
-5,3,22,0
-5,3,23,0
-5,3,24,0
-5,3,25,0
-5,3,26,0
-5,3,27,0
-5,3,28,0
-5,1,29,0
-5,1,30,0
-5,4,0,0
-5,4,1,0
-5,4,2,0
-5,4,3,0
-5,4,4,0
-5,4,5,0
-5,4,6,0
-5,4,7,0
-5,4,8,0
-5,4,9,0
-5,4,10,0
-5,4,11,0
-5,4,12,0
-5,4,13,0
-5,4,14,0
-5,4,15,0
-5,4,16,0
-5,4,17,0
-5,4,18,0
-5,4,19,0
-5,4,20,0
-5,4,21,0
-5,4,22,0
-5,4,23,0
-5,4,24,0
-5,4,25,0
-5,4,26,0
-5,4,27,0
-5,4,28,0
-5,4,29,0
-5,4,30,0
-5,5,0,0
-5,5,1,0
-5,5,2,0
-5,5,3,0
-5,5,4,0
-5,5,5,0
-5,5,6,0
-5,5,7,0
-5,5,8,0
-5,5,9,0
-5,5,10,0
-5,5,11,0
-5,5,12,0
-5,5,13,0
-5,5,14,0
-5,5,15,0
-5,5,16,0
-5,5,17,0
-5,5,18,0
-5,5,19,0
-5,5,20,0
-5,5,21,0
-5,5,22,0
-5,5,23,0
-5,5,24,0
-5,5,25,0
-5,5,26,0
-5,5,27,0
-5,5,28,0
-5,5,29,0
-5,5,30,0
